id,category
0,0
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,0
16,0
17,1
18,0
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,0
28,1
29,1
30,0
31,0
32,0
33,1
34,0
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,0
44,1
45,1
46,1
47,0
48,1
49,1
50,0
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,0
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,0
93,1
94,0
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,1
126,1
127,0
128,1
129,0
130,1
131,1
132,1
133,0
134,1
135,0
136,0
137,1
138,1
139,1
140,0
141,1
142,1
143,0
144,0
145,1
146,1
147,0
148,1
149,0
150,1
151,0
152,1
153,1
154,0
155,0
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,1
164,0
165,0
166,0
167,0
168,1
169,0
170,0
171,1
172,0
173,1
174,0
175,0
176,1
177,0
178,1
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,0
216,1
217,0
218,0
219,1
220,1
221,0
222,0
223,1
224,1
225,1
226,0
227,0
228,1
229,1
230,0
231,0
232,0
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,1
245,1
246,1
247,0
248,0
249,1
250,1
251,0
252,1
253,0
254,0
255,1
256,1
257,1
258,0
259,1
260,1
261,1
262,1
263,0
264,0
265,0
266,0
267,1
268,1
269,0
270,0
271,1
272,0
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,0
282,0
283,0
284,0
285,0
286,1
287,0
288,1
289,0
290,1
291,1
292,0
293,1
294,0
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,0
305,1
306,0
307,0
308,1
309,0
310,1
311,1
312,0
313,0
314,0
315,1
316,0
317,1
318,1
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,1
327,1
328,0
329,1
330,0
331,1
332,0
333,0
334,0
335,0
336,1
337,0
338,1
339,0
340,1
341,0
342,1
343,1
344,1
345,0
346,1
347,0
348,1
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,0
357,0
358,0
359,0
360,1
361,1
362,1
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,1
385,1
386,1
387,0
388,1
389,0
390,0
391,1
392,0
393,1
394,0
395,1
396,1
397,0
398,1
399,1
400,0
401,1
402,1
403,1
404,0
405,1
406,1
407,0
408,0
409,0
410,0
411,0
412,0
413,1
414,0
415,0
416,1
417,0
418,1
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,0
427,0
428,0
429,0
430,1
431,1
432,1
433,1
434,0
435,0
436,0
437,0
438,1
439,0
440,1
441,1
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,1
450,1
451,0
452,0
453,1
454,1
455,1
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,0
470,1
471,1
472,1
473,1
474,1
475,1
476,0
477,1
478,1
479,1
480,1
481,0
482,0
483,0
484,0
485,1
486,1
487,0
488,1
489,0
490,1
491,0
492,0
493,0
494,1
495,1
496,0
497,1
498,1
499,1
500,0
501,0
502,0
503,0
504,1
505,1
506,1
507,0
508,0
509,0
510,0
511,1
512,1
513,1
514,1
515,0
516,1
517,1
518,0
519,1
520,0
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,0
529,1
530,1
531,1
532,1
533,1
534,0
535,0
536,1
537,0
538,1
539,1
540,1
541,1
542,0
543,1
544,0
545,1
546,0
547,1
548,1
549,0
550,1
551,0
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,1
560,0
561,1
562,1
563,0
564,0
565,1
566,0
567,0
568,1
569,0
